"V1","V2","V3","V4","V5","V6","V7","V8"
300,2639,9.98333333333333,2.05,52.5740716245058,51.4583416245058,19,116
301,2639,10.0166666666667,2.05,55.4804311710941,54.2579211710941,19,116
302,2639,10.05,2.05,56.8176581953524,55.4920781953524,19,116
303,2639,10.0833333333333,2.05,57.4646832234992,56.0402832235009,19,116
304,2639,10.1166666666667,2.05,57.8187531748082,56.3003531748082,19,116
305,2639,10.15,2.05,58.1559827473439,56.5489227473456,19,116
306,2639,10.1833333333333,2.05,59.0789546277181,57.389094627719,19,116
307,2639,10.2166666666667,2.05,60.5964396218319,58.8301396218326,19,116
308,2639,10.25,2.05,61.2845618876862,59.4486518876886,19,116
309,2639,10.2833333333333,2.05,59.674277424407,57.7760474244119,19,116
310,2639,10.3166666666667,2.05,56.5012695218527,54.5484195218579,19,116
311,2639,10.35,2.05,53.9127448699955,51.9133748699993,19,116
312,2639,10.3833333333333,2.05,52.5834109820813,50.5459609820841,19,116
313,2639,10.4166666666667,2.05,51.9779791483295,49.9112291483318,19,116
314,2639,10.45,2.05,51.7478679217288,49.6608479217308,19,116
315,2639,10.4833333333333,2.05,51.4688696154134,49.3708596154157,19,116
316,2639,10.5166666666667,2.05,49.8908203087965,47.7912803088008,19,116
317,2639,10.55,2.05,46.1472502058817,44.0557902058878,19,116
318,2639,10.5833333333333,2.05,41.6476707291578,39.5740107291578,19,116
319,2639,10.6166666666667,2.05,38.3048731061221,36.2587431061259,19,116
320,2639,10.65,2.05,36.1060119345911,34.0971719345911,19,116
321,2639,10.6833333333333,2.05,33.9833152530716,32.0214552530716,19,116
322,2639,10.7166666666667,2.05,99999,28.9798466585022,19,116
323,2639,10.75,2.05,99999,24.8699462232133,19,116
324,2639,10.7833333333333,2.05,99999,21.0266121027363,19,116
325,2639,10.8166666666667,2.05,99999,17.9612167121761,19,116
326,2639,10.85,2.05,99999,15.0457369571481,19,116
327,2639,10.8833333333333,2.05,99999,12.4082369904546,19,116
328,2639,10.9166666666667,2.05,99999,11.3532008914785,19,116
329,2639,10.95,2.05,99999,12.7219063532428,19,116
330,2639,10.9833333333333,2.05,99999,13.8387139020591,19,116
331,2639,11.0166666666667,2.05,99999,10.2618249856045,19,116
332,2639,11.05,2.05,99999,1.8802229875114,19,116
333,2639,11.0833333333333,2.05,99999,-6.9028893414279,19,116
334,2639,11.1166666666667,2.05,99999,-13.1738674122729,19,116
335,2639,11.15,2.05,99999,-17.3246710185056,19,116
300,2638,9.98333333333333,2.08333333333333,43.7685107490179,42.5915507490179,19,116
301,2638,10.0166666666667,2.08333333333333,46.1336703318213,44.8579203318213,19,116
302,2638,10.05,2.08333333333333,47.3479763739161,45.9774563739161,19,116
303,2638,10.0833333333333,2.08333333333333,47.8562795127212,46.3955595127229,19,116
304,2638,10.1166666666667,2.08333333333333,47.7716360508378,46.2258160508378,19,116
305,2638,10.15,2.08333333333333,47.375009076891,45.7496890768934,19,116
306,2638,10.1833333333333,2.08333333333333,47.2788170353542,45.5801170353559,19,116
307,2638,10.2166666666667,2.08333333333333,47.6342124976064,45.8687124976079,19,116
308,2638,10.25,2.08333333333333,47.6737249716182,45.8484749716205,19,116
309,2638,10.2833333333333,2.08333333333333,46.5938002737053,44.7162502737088,19,116
310,2638,10.3166666666667,2.08333333333333,44.894788291478,42.9728082914813,19,116
311,2638,10.35,2.08333333333333,43.8621050409652,41.9039050409674,19,116
312,2638,10.3833333333333,2.08333333333333,43.6917316967635,41.7058616967651,19,116
313,2638,10.4166666666667,2.08333333333333,43.8288557663745,41.824165766376,19,116
314,2638,10.45,2.08333333333333,43.9900264997816,41.9755864997831,19,116
315,2638,10.4833333333333,2.08333333333333,44.2967212628847,42.2818312628858,19,116
316,2638,10.5166666666667,2.08333333333333,44.437278101059,42.4313881010606,19,116
317,2638,10.55,2.08333333333333,43.8425848626496,41.8552548626519,19,116
318,2638,10.5833333333333,2.08333333333333,43.3579500911988,41.3988000911988,19,116
319,2638,10.6166666666667,2.08333333333333,44.4340635537913,42.5127235537905,19,116
320,2638,10.65,2.08333333333333,47.0325322206296,45.1586122206296,19,116
321,2638,10.6833333333333,2.08333333333333,50.0306678403637,48.2136678403637,19,116
322,2638,10.7166666666667,2.08333333333333,99999,50.0925301361069,19,116
323,2638,10.75,2.08333333333333,99999,48.6372156418867,19,116
324,2638,10.7833333333333,2.08333333333333,99999,42.7538679314159,19,116
325,2638,10.8166666666667,2.08333333333333,99999,33.3280086899216,19,116
